Temperature [_ C] ,Humidity [%],Soil moisture,Reference evapotranspiration,Evapotranspiration,Crop Coefficient,Crop Coefficient stage,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,Solar Radiation ghi,Wind Speed,Days of planted,pH
19.48,86.86,477.79,766.3903443,784.1432138,0.94,Mid stage,91,43,120,651.42,3.94,62,2.01
31.31,93.28,269.89,454.1886653,311.5555597,0.83,Mid stage,88,79,112,28.75,3.25,62,6.77
21.27,82.19,323.86,103.7703442,335.8394059,1.07,Mid stage,71,47,99,632.72,3.35,62,3.05
27.66,80.22,554.31,1081.861568,594.590167,0.94,Mid stage,119,86,127,246.46,2.02,62,5.76
18.82,81.07,332.76,94.19616673,413.1434426,1,Mid stage,115,62,61,271.94,3.23,62,2.57
28.23,90.3,124.68,732.8997311,499.5956291,1.45,Mid stage,103,44,114,676.18,1.04,62,3.12
30.34,73.58,181.2,57.16909755,873.8985414,1.41,Mid stage,112,74,73,236.29,2.55,62,5.86
21.81,87.84,285.5,16.74091921,82.5012486,1.03,Mid stage,88,103,96,55.46,1.95,62,6.4
23.31,82.83,348.04,11.92228537,535.7122823,1.43,Mid stage,87,47,136,737.31,1.48,62,6.18
23.24,70.66,331.31,1036.73551,610.153343,1.39,Mid stage,83,91,77,689.62,3.85,62,3.26
28.48,60.48,587.73,508.9160513,198.2142958,1.49,Mid stage,92,62,119,43.69,2.92,62,3.23
21.33,67.35,248.52,662.6306651,527.8991659,1.17,Mid stage,107,89,89,648.11,2.71,62,3.56
20.41,84.5,357.98,156.3114902,697.6797445,1.17,Mid stage,80,75,116,359.48,2.53,62,5
24.29,80.29,592.25,537.0184238,257.6715949,1.46,Mid stage,95,108,90,405.82,2.28,62,3.05
22.26,69.61,580.19,571.1649189,879.3328362,1.42,Mid stage,118,108,121,564.35,3.31,62,4.92
29.75,75.2,239.03,168.7551438,118.108791,1.47,Mid stage,92,65,115,615.62,1.6,62,4.84
21.33,83.14,331.16,504.3713343,427.0604716,1.04,Mid stage,63,108,76,678.99,3.02,62,3.2
25.03,64.45,210.66,975.2833889,656.2551169,1.11,Mid stage,72,49,96,450.53,1.67,62,5.25
31.2,75.13,172.26,633.1424767,396.7315277,1.36,Mid stage,115,69,66,179.85,2.44,62,5.38
26.88,74.58,441.43,205.362729,463.5272275,1.24,Mid stage,93,75,130,369.19,3.77,62,5.94
30.14,78.99,305.31,1050.898214,427.8593324,0.84,Mid stage,98,94,81,485.22,2.44,62,2.98
31.16,78.27,417.94,982.2392308,49.19815318,1.42,Mid stage,99,67,62,623.42,3.03,62,4.86
28.51,72.87,460.99,1019.780456,290.0126573,1.17,Mid stage,119,41,110,370.94,2.21,62,3.08
27.79,86.7,471.59,859.2279364,75.53917751,1.08,Mid stage,88,62,60,157.79,2.91,62,4.61
31.55,62.35,665.64,617.9342679,684.5232981,1.33,Mid stage,111,102,98,287.67,1.97,62,7
31.92,61.24,256.1,853.5689176,430.3530961,0.87,Mid stage,77,96,51,134.56,2.53,62,5.72
24.33,74.71,640.89,681.7355821,367.0382977,1.14,Mid stage,85,73,80,704.43,1.8,62,5.28
18.99,91.38,149.76,7.258206645,685.0751136,1.2,Mid stage,118,57,105,190.04,1.67,62,3.82
22.1,69.71,137.62,128.7940559,591.7501899,1.01,Mid stage,86,78,102,378.16,2.59,62,4.88
20.13,66.03,183.09,121.3906643,372.532915,1.35,Mid stage,87,100,65,649.2,1.39,62,2.17
23.84,92.49,493.34,609.6956364,121.374254,1.46,Mid stage,62,93,112,157.04,2.32,62,6.2
19.84,65.89,427.57,765.612796,434.8547939,1.24,Mid stage,118,69,108,250.92,2.43,62,5.53
26.46,73.12,214.03,1033.348456,174.0008241,1.26,Mid stage,79,103,98,430.76,1.27,62,2.86
23.36,85.52,205.78,991.4491586,378.1165007,1.45,Mid stage,92,83,45,247.47,2.18,62,6.82
30.54,69.13,427.07,658.0200371,792.7958444,1.16,Mid stage,85,109,106,60.12,1.14,62,4.6
31.55,68.04,676.22,628.7637501,249.0230276,0.89,Mid stage,87,90,92,83.58,1.78,62,5.97
25.66,73.92,225.98,76.07784158,390.9037818,1.39,Mid stage,72,81,127,166.96,1.29,62,4.68
21.85,87.56,270.3,848.5615035,29.3010771,1.46,Mid stage,107,84,116,94.79,2.44,62,4.04
26.29,91.88,189.94,293.2889291,804.7329981,0.96,Mid stage,103,94,98,682.94,2.09,62,5.02
30.55,61.1,464.87,1009.790078,72.50015329,0.94,Mid stage,64,100,124,351.43,1.36,62,3.14
23.69,65.78,657.53,244.104914,571.3825598,1.17,Mid stage,65,44,96,462.35,2.75,62,3.9
25.73,93.55,258.05,766.2583271,874.3118169,1.01,Mid stage,114,66,101,140.47,2.73,62,5.26
21.8,80.75,394,124.4105963,821.8895996,1.39,Mid stage,110,69,80,557.49,2.06,62,6.69
24.38,79.3,646.42,543.7768298,28.83155858,1.12,Mid stage,80,75,102,9.25,2.32,62,2.88
23.62,88.47,530.8,164.7300055,243.9161921,0.96,Mid stage,87,108,115,694.45,4.02,62,3.69
21.48,61.39,426.41,927.1112882,97.82773437,0.8,Mid stage,63,70,63,348.59,1.49,62,5.02
25.08,60.48,490.8,675.7938063,365.5537622,0.87,Mid stage,60,101,40,318.18,4.01,62,3.45
22.35,93.86,543.89,1074.987128,408.0154199,1.05,Mid stage,94,88,130,39.82,2.04,62,6.9
23.22,89,542.52,155.9859558,151.3130366,1.42,Mid stage,106,100,129,5.41,1.98,62,3.01
25.35,86.16,401.29,941.8551097,697.3097248,1.06,Mid stage,109,54,76,342.03,2.87,62,6.54
28.51,65.45,283.26,808.0068546,314.6952563,0.89,Mid stage,69,49,86,380.86,2.23,62,4.66
22.67,76.68,239.58,426.5469266,359.8498597,1.46,Mid stage,95,60,97,741.76,3.01,62,4.92
30.94,92.81,652.8,20.67453779,268.2032649,1.28,Mid stage,97,55,69,471.52,3.49,62,5.98
30.07,92.68,153.78,809.8293496,258.6082205,1.09,Mid stage,61,106,61,213.45,2.22,62,2.25
18.68,60.32,315.5,108.8645797,378.5710735,1.29,Mid stage,105,59,50,465.18,3.59,62,4.97
21.55,86.34,520.23,890.028768,369.8130219,1.43,Mid stage,93,62,120,34.05,2.52,62,2.48
24.25,60.22,468.04,878.5449432,464.1381817,0.92,Mid stage,86,40,129,523.62,2.89,62,5.14
19.46,94.45,371.27,238.0841967,638.3003804,1.19,Mid stage,72,108,41,466.87,1.33,62,6.31
22.88,74.59,180.46,1062.533596,101.4823578,1.32,Mid stage,84,77,91,382.62,4.19,62,5.77
28.36,94.07,200.93,872.3992088,84.62669941,1.49,Mid stage,83,97,82,313.83,3.46,62,3.08
27.53,72.87,523.98,665.4443746,140.7319384,0.95,Mid stage,93,62,49,416.14,3.12,62,2.95
26.71,70.26,400.54,808.7115222,87.46339151,1.12,Mid stage,90,97,110,500.03,1.07,62,3.23
27.95,71.07,316.94,515.6767833,147.2049182,0.9,Mid stage,68,83,93,165.8,1.04,62,2.29
20.87,85.57,337.38,103.0388916,29.08031001,1.2,Mid stage,99,100,110,182.35,1,62,3.29
22.78,66.99,368.64,700.986349,744.5010726,1.16,Mid stage,91,75,51,600.28,2.05,62,3.75
27.47,90.24,516.17,458.4351561,721.1858686,1.28,Mid stage,64,67,105,87.95,1.74,62,2.61
30.31,80.67,468.55,1076.764839,22.41761805,1.16,Mid stage,103,60,111,154.49,2.51,62,5.78
25.61,93.95,160.88,70.61618262,293.1750406,0.96,Mid stage,74,83,124,553.38,2.85,62,2.94
21.96,94.55,211.34,177.4026654,564.2178664,1.11,Mid stage,119,81,139,25.67,4.06,62,2.12
18.42,66.48,160.92,990.4843129,138.746734,0.92,Mid stage,71,101,79,524.15,1.08,62,5.13
27.94,93.45,140.06,536.2048329,155.3170105,0.95,Mid stage,89,94,42,68.27,3.03,62,3.36
18.11,61.63,570.08,213.2558606,61.53324548,1.02,Mid stage,89,94,75,425.36,1.14,62,7
23.22,60.98,613.56,344.6208838,142.5832707,1.4,Mid stage,77,60,41,421.29,2.23,62,4.75
25.43,93.04,361.38,84.85364101,582.765078,1.14,Mid stage,101,42,51,581.84,2.19,62,5.43
30.91,93.68,681.93,697.6683218,567.1426016,0.81,Mid stage,64,63,56,376.4,1.48,62,4.04
19.25,65.15,620.89,1012.168519,241.0667244,1.47,Mid stage,62,74,134,190.9,3.36,62,2.28
23.68,75.48,619.02,627.6476291,232.997428,0.89,Mid stage,72,98,87,385,4.06,62,2.15
18.34,77.29,332.97,706.5380642,374.6452181,1.42,Mid stage,66,40,56,469.71,3.12,62,4.62
22.8,90.11,673.52,322.7920012,431.4120603,1.19,Mid stage,73,51,122,651.51,3.63,62,6.45
26.71,81.98,554.38,779.5524804,825.9133937,1.24,Mid stage,111,40,115,403.54,4.13,62,4.79
21.91,87.11,325.14,1006.771306,610.064831,1.28,Mid stage,106,105,99,150.92,4.06,62,5.75
20.94,76.98,635.52,51.96271222,288.6579419,1.08,Mid stage,74,47,129,371.08,2.15,62,4.33
19.62,82.69,122.39,239.791643,689.2314058,1.06,Mid stage,67,97,64,732.92,2.18,62,3.76
26.08,85.74,451.52,1030.355133,398.9484413,0.82,Mid stage,105,99,102,657.96,3.91,62,3.8
27.73,85.83,421.7,885.6655402,530.8720588,1.47,Mid stage,111,60,65,392.39,2.02,62,4.88
27.41,60.06,167.44,78.2127168,591.0119756,1.47,Mid stage,82,99,130,114.23,1.41,62,2.03
31.28,63.5,620.17,256.9923035,293.292048,1.12,Mid stage,100,98,57,127.37,3.56,62,5.64
18.04,72.73,283.39,402.3481794,451.0652616,1.16,Mid stage,103,88,81,594.14,1.88,62,4.88
27.06,62.14,338.28,351.9006233,91.85606894,1.04,Mid stage,66,76,126,112.61,1.27,62,6.05
26.41,73.4,395.59,57.34333296,762.492989,0.93,Mid stage,66,97,54,699.51,3.41,62,2.75
26.24,73.63,593.82,188.6175961,857.2225923,0.86,Mid stage,62,72,108,90.53,4.05,62,3.19
31.48,92.21,465.06,311.3245205,811.7529159,1.46,Mid stage,115,83,59,272.45,1.99,62,5.66
18.24,79.85,447.1,169.2938796,41.23351538,0.81,Mid stage,76,93,115,214.9,3.65,62,2.95
27.75,84.72,330.18,910.369421,767.7334142,1.16,Mid stage,84,109,135,747.05,1.31,62,2.77
29.39,91.05,282.22,572.9332617,758.0245956,1.28,Mid stage,62,61,45,537.92,1.44,62,4.99
25.14,75.47,397.31,244.3706078,118.4714594,1.44,Mid stage,83,46,88,245.49,1.68,65,5.26
22.68,60.07,268.33,932.6494572,649.1410018,1.3,Mid stage,91,62,107,24.38,1.87,65,5.84
29.07,69.99,316.92,836.9726598,49.41063626,1.07,Mid stage,102,53,137,204.52,3.4,65,6.36
19.36,88.5,375.42,425.5188288,730.8628138,0.83,Mid stage,70,108,70,556.8,3.19,65,2.01
24.19,91.56,609.23,925.4889155,722.0224029,0.84,Mid stage,113,79,42,200.28,3.16,65,3.41
25.28,72.3,659.7,701.5559803,870.9160217,1.34,Mid stage,65,84,95,151.22,1.67,65,2.06
27.72,70.29,601.25,686.1819007,391.1181446,1.46,Mid stage,90,60,94,628.92,1.96,65,5.67
19.27,92.36,424.91,115.2060199,447.7136815,1.36,Mid stage,69,109,95,614.58,3.35,65,4.18
21.19,72.29,532.7,449.6170428,388.5658271,1.11,Mid stage,110,51,64,4.77,2.28,65,6.37
23.74,82.83,314.42,79.48439226,459.8265065,1.04,Mid stage,114,45,54,15.36,1.56,65,6.64
26.73,69.81,386.33,441.6030928,734.0139651,0.93,Mid stage,105,73,41,333.64,3.5,65,4.46
30.42,63.43,665.48,66.33337496,781.6675058,1.18,Mid stage,70,81,94,698.15,2.97,65,5.23
26.66,77.54,325.87,212.9717089,14.81251958,1.1,Mid stage,104,78,92,114.44,1.08,65,4.5
19.87,92.31,220.33,502.5627328,601.7448832,1.28,Mid stage,108,62,60,634.83,3.87,65,3.09
31.73,81.65,393.81,680.2722482,562.1509575,1.38,Mid stage,86,44,61,510.05,3.05,65,3.57
30.21,67.31,498.5,199.8834215,551.0716606,0.86,Mid stage,61,77,111,448.55,3.69,65,4.5
25.04,83.89,193.38,91.55049038,674.8825746,0.97,Mid stage,94,103,62,397.13,1.79,65,6.83
30.91,86.89,190.82,961.2190121,659.9680356,0.88,Mid stage,100,46,129,419.77,3.13,65,3.95
25.58,71.23,296.14,92.71631327,97.55879406,0.96,Mid stage,62,69,44,620.34,1.74,65,4.23
30.93,79.57,646.44,626.0237185,639.5552568,0.94,Mid stage,111,71,120,450.58,2.77,65,5.65
29.62,83.87,511.27,870.5863955,746.3714611,0.84,Mid stage,60,76,79,393.19,2.85,65,6.43
31.56,65.61,248.72,185.1271735,12.02491147,0.84,Mid stage,79,99,62,88.73,2.9,65,6.78
30.88,93.74,470.02,711.302108,288.4346008,0.89,Mid stage,103,75,84,622.98,1.98,65,4.96
18.5,75.79,502.94,803.9535827,180.9430711,1.14,Mid stage,100,86,80,264.12,1.35,65,4.49
20.45,94.29,423.37,778.2032676,17.89679486,1,Mid stage,61,93,105,608.93,2.15,65,3.95
23.45,66.64,560.44,57.82898749,781.9484265,1.41,Mid stage,106,40,112,514.01,2.96,65,3.03
31.33,76.93,134.35,706.1059434,484.3192248,0.83,Mid stage,69,65,82,618.5,2.38,65,5.68
22.2,65.8,230.85,173.6706293,663.505211,1.06,Mid stage,79,75,48,387.65,2.93,65,4.44
20.25,60.36,680.5,332.8609157,196.6244406,1.15,Mid stage,104,106,95,585.3,4.1,65,6.99
30.41,68.33,408.69,1021.766269,113.067255,1.36,Mid stage,66,108,111,576.67,2.47,65,5.1
24.25,74.11,164.38,58.40246717,141.1344182,1.45,Mid stage,112,82,103,218.75,2.26,65,4.97
30.71,75.09,298.74,948.03979,761.4767244,1.45,Mid stage,70,61,68,413.93,2.93,65,2.68
20.24,91.03,121.03,606.7990842,233.3526944,1.4,Mid stage,93,55,44,111.94,1.87,65,5.8
27.26,82.25,456.06,35.42418798,556.2810229,1.27,Mid stage,82,55,124,30,3.58,65,4.27
24.16,75.21,699.7,829.6421874,319.660413,1.04,Mid stage,92,50,139,119.21,1.66,65,2.07
19.07,94.58,462.26,943.3947786,396.9156182,0.98,Mid stage,72,92,94,391.99,3.49,65,2.77
27.75,81.5,473.84,503.8491742,769.8012733,1.4,Mid stage,62,89,111,722,4.18,65,6.5
21.46,71.29,310.08,871.2312721,661.1190487,1.2,Mid stage,67,67,81,376.73,1.75,65,2.19
18.55,84.2,257.48,1001.607442,302.7632391,1.01,Mid stage,67,89,117,21.84,1.61,65,3.25
18.84,77.35,414.73,625.4844491,807.5832362,1.29,Mid stage,68,80,101,282.31,2.44,65,4.93
18.86,90.84,641.88,1008.443532,284.9001153,1.41,Mid stage,111,64,96,421.04,1.63,65,3.31
30.71,91.38,125.66,459.255484,675.4737035,1.1,Mid stage,63,78,59,122.79,3.47,65,3.58
28.36,72.86,450.4,893.2397954,711.0594077,1.49,Mid stage,109,65,72,630.48,2.86,65,3.01
30.57,79.68,368.54,858.9519334,325.3089677,1.19,Mid stage,60,74,113,258.84,1.02,65,3.97
27.42,69.3,480.28,791.1039298,472.5191096,1.42,Mid stage,78,47,134,187.68,1.66,65,4.27
25.41,81.93,607.18,453.1792024,414.0293148,1.14,Mid stage,76,58,77,582.3,3.53,65,2.53
22.26,94.73,380.45,515.5813755,562.4476635,1.04,Mid stage,78,48,117,64.61,1.55,65,6.53
31.97,89.14,246.26,231.1243593,657.1423507,0.91,Mid stage,60,81,134,198.74,2.76,65,3.88
23.07,72.82,338.43,306.6168885,821.0145045,1.06,Mid stage,87,102,105,65.75,3.23,65,3.97
24.59,63.34,207.32,750.8039098,525.8864182,1.18,Mid stage,80,103,116,270.81,2.17,65,6.8
23.3,93.83,169.24,358.6571611,812.2211311,1.36,Mid stage,118,51,44,7.1,3.49,65,6.57
31.71,73.64,338.01,797.0016396,893.6296201,0.87,Mid stage,70,71,129,401.52,2.99,65,6.6
20.45,70.27,482.91,687.2270851,491.615025,1.24,Mid stage,105,46,67,85.51,1.17,65,6.7
22.59,71.07,272.44,392.7535107,227.655902,1.35,Mid stage,112,80,49,551.33,1.59,65,3.36
27.52,77.15,651.1,185.2125075,578.6195453,1.24,Mid stage,63,91,112,147.88,2.89,65,5.86
18.88,93.49,519.59,352.4086411,656.5425938,1.29,Mid stage,97,58,101,716.09,1.06,65,6.74
26.5,94.53,518.06,402.3875041,583.7997372,1.36,Mid stage,79,89,139,551.77,1.07,65,3.71
24.69,70.36,521.19,710.7146167,51.08229209,1.42,Mid stage,79,99,64,663.07,2.85,65,4.86
21.98,72.3,120.98,68.94252182,170.5913398,0.85,Mid stage,78,89,137,748.47,3.42,65,6.25
21.34,77.91,591.54,952.8603936,215.4866712,1.23,Mid stage,108,94,49,709.25,2.44,65,4.92
25.2,60.29,652.21,688.2049251,221.2746776,0.9,Mid stage,65,49,108,437.83,1.46,65,5.84
23.15,66.12,131.25,59.44216025,845.2574473,0.95,Mid stage,110,83,57,369.5,3.22,65,6.44
24.39,92.76,467.01,277.3499924,601.5453551,0.83,Mid stage,62,107,106,521.1,3.17,65,4.31
22.72,61.03,512.41,166.516312,209.7419584,0.83,Mid stage,81,97,61,315.37,1.64,65,4.55
31.59,63.53,233.82,640.4427825,149.8412174,0.83,Mid stage,99,96,51,35.59,1.83,65,2.33
19.87,74.72,606.16,626.3491077,44.4435943,1.07,Mid stage,94,43,138,676.13,2.03,65,4.9
19.36,85.6,482.98,401.2634614,255.4277005,0.85,Mid stage,102,106,68,679.83,1.44,65,3.68
22.81,69.41,250.53,835.9948776,303.6993695,1.37,Mid stage,85,41,133,568.81,3.88,65,3.81
26.27,70.71,680.97,68.88760615,253.3452449,1.43,Mid stage,94,100,139,296.09,1.26,65,3.83
27.23,70.69,245.2,910.2793849,648.117528,1.01,Mid stage,87,71,60,60.78,3.34,65,6.41
23.56,90.54,513.58,977.4924087,510.7229252,1.03,Mid stage,100,103,107,340.95,1.17,65,3.62
31.99,67.91,394.86,205.2777956,93.8691123,1.07,Mid stage,98,95,103,565.52,1.5,65,5.47
22.93,79.68,539.51,1034.548333,584.7755888,1.11,Mid stage,85,75,70,92.84,2.42,65,2.59
28.1,95,176.7,805.8693198,280.1773202,1.47,Mid stage,103,83,68,609.09,1.02,65,2.22
26.93,85.5,672.48,982.8969212,667.4826861,0.98,Mid stage,73,45,130,82.06,1.57,65,4.44
29.38,71.77,238.6,870.8385585,440.5833678,0.89,Mid stage,106,78,124,680.74,2.76,65,4.04
31.67,86.79,247.82,75.63533092,127.6655965,0.82,Mid stage,91,41,75,364.23,3.29,65,6.72
30.46,93.39,441.34,272.335928,165.4661784,0.83,Mid stage,109,80,90,276.08,3.44,65,3.13
28.7,73.07,322.85,936.124367,496.7760891,1.39,Mid stage,71,73,86,453.1,2.5,65,6.34
27.78,84.78,376.44,53.84687094,256.7507065,1.02,Mid stage,111,85,123,124.41,2.88,65,5.8
22.7,62.65,141.52,780.4205563,344.4814845,1.14,Mid stage,73,90,69,179.5,2.27,65,2.43
20.07,91.34,256.23,749.7986465,707.224906,1.15,Mid stage,99,57,138,8.42,3.3,65,5.14
18.88,63.37,568.65,488.9687148,500.8305643,1.09,Mid stage,62,66,134,526.25,2.45,65,5.05
21.39,73.05,643.28,632.733164,789.6569976,0.91,Mid stage,63,64,88,362.42,2.22,65,4.85
24.05,78.99,255.42,287.3269259,619.5465164,1.28,Mid stage,88,90,68,198.79,3.3,65,2.38
25.31,69.23,568.54,650.1343632,139.2791552,1.16,Mid stage,85,100,119,10.9,3.78,65,6.44
28.82,82.72,136.79,757.2022411,90.49676539,0.92,Mid stage,66,48,76,606.88,1.79,65,5.66
31.42,79.41,145.94,424.7965224,579.3458678,1.33,Mid stage,65,89,50,224.6,3.81,65,4.93
19.64,85.1,347.95,163.6842515,482.4729073,1.36,Mid stage,73,68,109,47.06,3.22,65,2.73
19.5,72.39,205.79,1039.504851,661.132881,0.96,Mid stage,110,85,59,646.74,3.98,65,3.31
26.26,79.11,216.36,1088.464681,499.5403674,0.86,Mid stage,92,78,42,584.57,3.1,65,6.27
28.44,88.43,483.89,77.84116452,888.8813744,1.37,Mid stage,111,56,110,356.98,2.02,65,4.23
29.87,88.37,617.74,62.16210799,883.4960465,1.16,Mid stage,103,55,104,278.73,3.84,65,2.97
31.1,85,571.8,399.5825652,245.6711906,0.98,Mid stage,81,83,97,189.86,2.58,65,3.85
31.77,78.97,315.17,1033.476694,712.8907432,0.94,Mid stage,78,77,70,555.16,1.79,65,2.47
23.6,83.56,627.63,418.5844446,689.7378446,0.84,Mid stage,88,90,44,300.45,4.04,65,6.39
23.32,63.04,607.98,252.4653186,756.5748279,1.02,Mid stage,101,45,40,78.87,2.82,65,3.52
20.07,76.5,424.04,1073.864636,378.884597,0.98,Mid stage,82,43,126,66.83,2.97,65,4.3
27.59,90.11,396.01,257.6775803,835.0934565,0.92,Mid stage,119,77,127,580.84,3.3,65,6.86
27.19,81.26,153.91,753.4642556,339.7218606,1.11,Mid stage,73,91,50,724.44,1.95,65,4.17
30.07,92.96,207.3,123.7687816,642.2786043,1.2,Mid stage,104,82,46,265.4,1.38,65,4.96
19.36,69.18,169.54,695.7229251,542.5378299,0.84,Mid stage,97,48,102,454.37,3.58,65,5.11
24.97,63.37,425.53,160.3026615,328.1886037,1.24,Mid stage,82,99,136,116.04,2.39,65,3.05
26.14,81.93,512.45,307.2978429,205.8670553,1.43,Mid stage,60,101,107,120.84,1.57,65,6.41
21.38,63.18,478.89,480.7127223,617.1328195,1.03,Mid stage,94,98,76,472.26,2.1,65,6.02
20.37,87.37,626.27,841.7535392,812.1963159,0.97,Mid stage,65,51,137,517.17,3.21,65,5.6
30.03,68.99,502.05,611.1191103,359.2499624,0.87,Mid stage,100,93,136,331,3.15,65,3.65
18.82,78.86,601.23,198.903158,87.72530709,1.06,Mid stage,107,66,46,676.12,1.7,65,4.84
24.59,88.4,201.45,830.6327272,253.2662748,1.27,Mid stage,88,69,109,427.73,2,65,5.3
19.62,87.58,219.56,701.8588,361.1875142,0.88,Mid stage,79,72,103,605.57,3.67,65,3.82
24.4,77.36,652.68,22.12965572,366.944829,1.35,Mid stage,81,48,119,662.96,2.35,65,6.81
31.72,94.15,325.73,73.09321607,574.2698866,1.27,Mid stage,108,90,139,219.73,2.19,65,2.8
23.93,77.42,245.86,102.2365764,104.520047,1.07,Mid stage,103,40,129,345.82,3.53,65,4.68
30,69.76,649,275.207429,102.2332256,0.92,Mid stage,65,64,59,335.22,2.5,65,5.49
19.64,70.59,682.66,305.1150921,157.0154113,1.08,Mid stage,76,62,41,254.72,3.56,65,4.87
21.8,86.03,489.91,745.5595327,149.9942346,1.14,Mid stage,87,57,64,231.11,4.14,65,5.28
23.65,75.3,345.24,715.7111827,159.0076871,0.9,Mid stage,100,100,125,620.71,3.85,65,6.61
23.6,74.66,519.26,959.3314934,5.697369159,1,Mid stage,79,96,138,532.39,1.01,65,3.8
27.4,60.72,129.02,897.0306524,247.5087413,0.8,Mid stage,86,71,54,616.02,3.43,65,5.77
22.83,70.68,203.93,867.6174308,509.5563458,0.81,Mid stage,71,66,42,55.56,3.74,65,2.73
27.99,90.11,333.85,648.2082774,892.9804554,1.29,Mid stage,84,75,111,653.49,1.92,65,3.04
26.95,88.12,602.69,118.1893024,370.5500015,1.2,Mid stage,105,58,63,178.04,2.43,65,3.66
23.59,86.13,296.5,756.8356458,761.6040178,1.31,Mid stage,104,79,94,292.33,2.77,65,4.77
24.04,60.81,153.57,333.2513235,189.3148575,1.02,Mid stage,106,90,78,230.54,3.85,65,5.21
26.6,60.94,339.67,861.9508307,845.8529845,1.22,Mid stage,107,42,71,619.26,3.03,65,2.49
18.98,70.9,259.93,403.9887754,16.30119643,1.3,Mid stage,107,84,105,550.52,2.96,65,3.54
29.51,76.61,152.51,148.7122324,25.39275614,0.87,Mid stage,117,81,99,346.42,1.6,65,6.34
27.15,91.84,351.38,666.2339432,326.4998522,1.31,Mid stage,112,87,57,628.4,2.97,65,6.31
28.17,73.46,323.82,971.2031537,787.908508,1.19,Mid stage,98,108,92,179.12,2.28,65,5.08
25.52,70.1,545.63,194.2680711,510.6651021,0.92,Mid stage,69,97,117,305.76,3.67,65,6.89
19.55,79.99,156.66,324.5740823,32.58598425,1.08,Mid stage,103,82,70,74.52,1.64,65,5.36
23.67,92.01,339.85,291.6129472,756.4750187,0.83,Mid stage,97,73,139,273.67,2.34,65,3.24
23.68,85.85,318.61,860.7226036,146.80088,0.97,Mid stage,76,98,97,472.11,1.31,65,4.54
22.49,89.98,495.16,168.2450668,339.022174,1.44,Mid stage,68,57,126,358.76,1.99,65,2.84
18.42,66.38,634.99,484.9882162,77.77500207,1.44,Mid stage,84,105,123,746.13,3.34,65,6.3
28.32,64.4,202.93,414.886512,838.1570878,1.36,Mid stage,100,108,68,732.19,2.51,65,3.08
19.54,79.04,593.43,846.4946537,6.607450446,0.82,Mid stage,118,107,110,64.25,2.22,65,3.06
26.49,84.41,473.64,483.9143458,790.7324577,1.35,Mid stage,119,52,105,206.35,2.39,65,6.83
27.85,93.42,136.96,274.5470451,152.3574255,0.98,Mid stage,61,103,45,440.41,1.15,65,3.45
26.89,73,564.8,89.59746562,182.829682,1.1,Mid stage,72,90,51,513.26,3.59,65,6.11
31.43,72.13,431.86,534.9155211,199.4230574,1.24,Mid stage,85,45,93,548.12,1.28,65,2.51
19.45,78.05,583.96,274.6695738,128.9696818,1.11,Mid stage,63,78,64,15.36,4.18,65,3.48
30.14,83.97,357.14,754.3719797,129.6440425,0.83,Mid stage,89,60,130,703.18,2.79,65,3.87
18.41,79.81,505.99,264.8513656,784.5589978,1.45,Mid stage,106,83,87,401.66,3.78,65,5.49
25.49,85.31,235.31,591.1533403,375.9582091,0.82,Mid stage,72,70,105,199.41,1.08,65,3.86
23.66,73.31,231.27,700.5900448,327.0462996,0.96,Mid stage,69,109,82,616.99,3.02,65,3.01
25.34,90.18,317.35,990.8448376,221.671783,1.07,Mid stage,111,55,103,400.33,1.36,65,3.82
23.11,66.4,421.28,996.0180151,814.5144804,1.46,Mid stage,78,85,72,206.89,3.94,65,6.88
20.67,71.06,535.59,735.6798257,526.9107352,1.14,Mid stage,87,80,51,229.14,2.19,65,6.44
18.27,87.08,506.75,235.555134,311.3643967,0.95,Mid stage,109,66,58,122.51,1.91,65,5.01
25.25,71.75,596.38,67.18723233,178.7116437,1.35,Mid stage,117,91,64,439.29,1.44,65,2.74
29.8,83.39,367.31,827.6869772,821.7144387,1.23,Mid stage,116,90,44,260.43,1.36,65,6.49
23.23,70.07,649.27,396.6177675,185.1245562,1.37,Mid stage,84,101,47,555.02,3.69,65,5.14
21.12,66.55,183.32,133.6245015,59.73076413,0.93,Mid stage,89,89,72,159.55,1.53,65,4.97
19.13,70.53,228.58,918.9198641,567.851607,1.04,Mid stage,114,103,55,6.03,2.25,65,4.43
19.19,91.04,516.56,591.2344713,250.1078179,1.15,Mid stage,113,108,41,204.53,4.08,65,5.82
21.1,76.13,267.19,1043.964522,160.9250513,1.17,Mid stage,75,58,128,584.48,2.12,65,4.31
19.4,67.89,215.46,637.1829355,544.9769164,0.98,Mid stage,90,69,77,729.57,1.72,65,2.23
21.71,71.25,634.17,1046.457025,411.2784776,1.31,Mid stage,90,100,121,87.98,2.86,65,2.19
18.93,60.1,159.67,603.8353206,142.2061969,0.83,Mid stage,78,90,71,500.9,2.57,65,6.67
18.92,86.45,695.05,190.0148202,517.4363338,1.33,Mid stage,112,90,71,567.72,2.01,65,6.38
29.99,67.9,620.3,1060.402967,600.84125,1.16,Mid stage,73,103,112,646.83,3.8,65,3.85
20.27,80.93,623.59,99.69068002,624.705212,1.43,Mid stage,103,76,105,250.41,2.48,65,3.01
